question,answer
What is (vertigo) paroymsal  positional vertigo?,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo Ã¢Â?the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
What are the symptoms of (vertigo) paroymsal  positional vertigo?,"Common symptoms may include  nausea,  loss_of_balance,  unsteadiness,  spinning_movements,  headache, and  vomiting."
How can I prevent (vertigo) paroymsal  positional vertigo?,"To prevent (vertigo) paroymsal  positional vertigo, it is recommended to avoid abrupt head movment, relax, lie down, and avoid sudden change in body."
What is acne?,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
What are the symptoms of acne?,"Common symptoms may include  skin_rash,  scurring,  blackheads, and  pus_filled_pimples."
How can I prevent acne?,"To prevent acne, it is recommended to bath twice, avoid too many products, avoid fatty spicy food, and drink plenty of water."
What medications should I take for acne?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is aids?,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
What are the symptoms of aids?,"Common symptoms may include  patches_in_throat,  high_fever,  extra_marital_contacts, and  muscle_wasting."
How can I prevent aids?,"To prevent aids, it is recommended to consult doctor, follow up, avoid open cuts, and wear ppe if possible."
What is alcoholic hepatitis?,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
What are the symptoms of alcoholic hepatitis?,"Common symptoms may include  distention_of_abdomen,  swelling_of_stomach,  abdominal_pain,  history_of_alcohol_consumption,  fluid_overload,  vomiting, and  yellowish_skin."
How can I prevent alcoholic hepatitis?,"To prevent alcoholic hepatitis, it is recommended to consult doctor, stop alcohol consumption, follow up, and medication."
What is allergy?,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
What are the symptoms of allergy?,"Common symptoms may include  watering_from_eyes,  chills,  shivering, and  continuous_sneezing."
How can I prevent allergy?,"To prevent allergy, it is recommended to apply calamine, use ice to compress itching, and cover area with bandage."
What is arthritis?,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
What are the symptoms of arthritis?,"Common symptoms may include  swelling_joints,  movement_stiffness,  stiff_neck,  painful_walking, and  muscle_weakness."
How can I prevent arthritis?,"To prevent arthritis, it is recommended to exercise, massage, use hot and cold therapy, and try acupuncture."
What is bronchial asthma?,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
What are the symptoms of bronchial asthma?,"Common symptoms may include  fatigue,  high_fever,  cough,  breathlessness,  mucoid_sputum, and  family_history."
How can I prevent bronchial asthma?,"To prevent bronchial asthma, it is recommended to take deep breaths, seek help, switch to loose cloothing, and get away from trigger."
What is cervical spondylosis?,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
What are the symptoms of cervical spondylosis?,"Common symptoms may include  loss_of_balance,  back_pain,  neck_pain,  weakness_in_limbs, and  dizziness."
How can I prevent cervical spondylosis?,"To prevent cervical spondylosis, it is recommended to consult doctor, use heating pad or cold pack, exercise, and take otc pain reliver."
What is chicken pox?,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
What are the symptoms of chicken pox?,"Common symptoms may include  swelled_lymph_nodes,  loss_of_appetite,  fatigue,  lethargy,  high_fever,  red_spots_over_body, itching,  mild_fever,  skin_rash,  malaise, and  headache."
How can I prevent chicken pox?,"To prevent chicken pox, it is recommended to take vaccine, use neem in bathing , avoid public places, and consume neem leaves."
What is chronic cholestasis?,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
What are the symptoms of chronic cholestasis?,"Common symptoms may include  nausea,  loss_of_appetite,  abdominal_pain, itching,  yellowing_of_eyes,  vomiting, and  yellowish_skin."
How can I prevent chronic cholestasis?,"To prevent chronic cholestasis, it is recommended to cold baths, eat healthy, anti itch medicine, and consult doctor."
What is common cold?,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
What are the symptoms of common cold?,"Common symptoms may include  swelled_lymph_nodes,  fatigue,  high_fever,  phlegm,  chest_pain,  cough,  chills,  continuous_sneezing,  throat_irritation,  sinus_pressure,  loss_of_smell,  malaise,  redness_of_eyes,  muscle_pain,  headache,  congestion, and  runny_nose."
How can I prevent common cold?,"To prevent common cold, it is recommended to take vapour, drink vitamin c rich drinks, avoid cold food, and keep fever in check."
What is dengue?,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. Ã¢Â?called also breakbone fever, dengue fever."
What are the symptoms of dengue?,"Common symptoms may include  nausea,  loss_of_appetite,  fatigue,  high_fever,  pain_behind_the_eyes,  red_spots_over_body,  chills,  skin_rash,  back_pain,  joint_pain,  malaise,  headache,  muscle_pain, and  vomiting."
How can I prevent dengue?,"To prevent dengue, it is recommended to keep mosquitos away, keep hydrated, drink papaya leaf juice, and avoid fatty spicy food."
What is diabetes ?,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
What are the symptoms of diabetes ?,"Common symptoms may include  increased_appetite,  restlessness,  fatigue,  lethargy,  irregular_sugar_level,  polyuria,  blurred_and_distorted_vision,  obesity,  weight_loss, and  excessive_hunger."
How can I prevent diabetes ?,"To prevent diabetes , it is recommended to consult doctor, have balanced diet, exercise, and follow up."
What is dimorphic hemmorhoids(piles)?,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease ."
What are the symptoms of dimorphic hemmorhoids(piles)?,"Common symptoms may include  pain_during_bowel_movements,  constipation,  pain_in_anal_region,  irritation_in_anus, and  bloody_stool."
How can I prevent dimorphic hemmorhoids(piles)?,"To prevent dimorphic hemmorhoids(piles), it is recommended to consume witch hazel, avoid fatty spicy food, consume alovera juice, and warm bath with epsom salt."
What is drug reaction?,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
What are the symptoms of drug reaction?,"Common symptoms may include  stomach_pain, itching,  skin_rash,  spotting_ urination, and  burning_micturition."
How can I prevent drug reaction?,"To prevent drug reaction, it is recommended to follow up, stop taking drug, consult nearest hospital, and stop irritation."
What is fungal infection?,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
What are the symptoms of fungal infection?,"Common symptoms may include  skin_rash,  dischromic _patches, itching, and  nodal_skin_eruptions."
How can I prevent fungal infection?,"To prevent fungal infection, it is recommended to bath twice, keep infected area dry, use detol or neem in bathing water, and use clean cloths."
What is gastroenteritis?,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
What are the symptoms of gastroenteritis?,"Common symptoms may include  diarrhoea,  dehydration,  sunken_eyes, and  vomiting."
How can I prevent gastroenteritis?,"To prevent gastroenteritis, it is recommended to try taking small sips of water, rest, stop eating solid food for while, and ease back into eating."
What medications should I take for gastroenteritis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is gerd?,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
What are the symptoms of gerd?,"Common symptoms may include  stomach_pain,  chest_pain,  cough,  acidity,  ulcers_on_tongue, and  vomiting."
How can I prevent gerd?,"To prevent gerd, it is recommended to exercise, maintain healthy weight, avoid fatty spicy food, and avoid lying down after eating."
What is heart attack?,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
What are the symptoms of heart attack?,"Common symptoms may include  sweating,  chest_pain,  breathlessness, and  vomiting."
How can I prevent heart attack?,"To prevent heart attack, it is recommended to keep calm, chew or swallow asprin, and call ambulance."
What is hepatitis a?,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
What are the symptoms of hepatitis a?,"Common symptoms may include  nausea,  loss_of_appetite,  abdominal_pain,  mild_fever,  yellowing_of_eyes,  joint_pain,  dark_urine,  muscle_pain,  diarrhoea,  vomiting, and  yellowish_skin."
How can I prevent hepatitis a?,"To prevent hepatitis a, it is recommended to avoid fatty spicy food, Consult nearest hospital, wash hands through, and medication."
What is hepatitis b?,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
What are the symptoms of hepatitis b?,"Common symptoms may include  loss_of_appetite,  fatigue,  lethargy,  abdominal_pain, itching,  yellow_urine,  yellowing_of_eyes,  malaise,  dark_urine,  receiving_blood_transfusion,  receiving_unsterile_injections, and  yellowish_skin."
How can I prevent hepatitis b?,"To prevent hepatitis b, it is recommended to eat healthy, medication, vaccination, and consult nearest hospital."
What medications should I take for hepatitis b?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is hepatitis c?,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
What are the symptoms of hepatitis c?,"Common symptoms may include  nausea,  loss_of_appetite,  fatigue,  yellowish_skin,  yellowing_of_eyes, and  family_history."
How can I prevent hepatitis c?,"To prevent hepatitis c, it is recommended to eat healthy, Consult nearest hospital, vaccination, and medication."
What is hepatitis d?,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
What are the symptoms of hepatitis d?,"Common symptoms may include  nausea,  loss_of_appetite,  fatigue,  abdominal_pain,  yellowing_of_eyes,  joint_pain,  dark_urine,  vomiting, and  yellowish_skin."
How can I prevent hepatitis d?,"To prevent hepatitis d, it is recommended to consult doctor, follow up, eat healthy, and medication."
What is hepatitis e?,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
What are the symptoms of hepatitis e?,"Common symptoms may include  nausea,  loss_of_appetite,  fatigue,  high_fever,  acute_liver_failure,  abdominal_pain,  stomach_bleeding,  yellowing_of_eyes,  joint_pain,  dark_urine,  coma,  vomiting, and  yellowish_skin."
How can I prevent hepatitis e?,"To prevent hepatitis e, it is recommended to consult doctor, stop alcohol consumption, rest, and medication."
What is hypertension ?,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
What are the symptoms of hypertension ?,"Common symptoms may include  loss_of_balance,  lack_of_concentration,  chest_pain,  headache, and  dizziness."
How can I prevent hypertension ?,"To prevent hypertension , it is recommended to meditation, salt baths, get proper sleep, and reduce stress."
What is hyperthyroidism?,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
What are the symptoms of hyperthyroidism?,"Common symptoms may include  restlessness,  fatigue,  sweating,  abnormal_menstruation,  irritability,  mood_swings,  muscle_weakness,  weight_loss,  diarrhoea,  fast_heart_rate, and  excessive_hunger."
How can I prevent hyperthyroidism?,"To prevent hyperthyroidism, it is recommended to use lemon balm, eat healthy, massage, and take radioactive iodine treatment."
What is hypoglycemia?, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions Ã¢Â?many rare Ã¢Â?can cause low blood sugar in people who don't have diabetes.
What are the symptoms of hypoglycemia?,"Common symptoms may include  nausea,  sweating,  fatigue,  excessive_hunger,  slurred_speech,  anxiety,  palpitations,  blurred_and_distorted_vision,  irritability,  headache,  vomiting, and  drying_and_tingling_lips."
How can I prevent hypoglycemia?,"To prevent hypoglycemia, it is recommended to consult doctor, check in pulse, lie down on side, and drink sugary drinks."
What is hypothyroidism?,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
What are the symptoms of hypothyroidism?,"Common symptoms may include  enlarged_thyroid,  depression,  fatigue,  lethargy,  abnormal_menstruation,  puffy_face_and_eyes,  brittle_nails,  irritability,  mood_swings,  dizziness,  weight_gain,  cold_hands_and_feets, and  swollen_extremeties."
How can I prevent hypothyroidism?,"To prevent hypothyroidism, it is recommended to eat healthy, exercise, get proper sleep, and reduce stress."
What is impetigo?,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
What are the symptoms of impetigo?,"Common symptoms may include  high_fever,  red_sore_around_nose,  yellow_crust_ooze,  blister, and  skin_rash."
How can I prevent impetigo?,"To prevent impetigo, it is recommended to consult doctor, remove scabs with wet compressed cloth, use antibiotics, and soak affected area in warm water."
What is jaundice?,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it"
What are the symptoms of jaundice?,"Common symptoms may include  fatigue,  high_fever,  abdominal_pain, itching,  dark_urine,  weight_loss,  vomiting, and  yellowish_skin."
How can I prevent jaundice?,"To prevent jaundice, it is recommended to consume milk thistle, drink plenty of water, eat fruits and high fiberous food, and medication."
What is malaria?,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.
What are the symptoms of malaria?,"Common symptoms may include  nausea,  sweating,  high_fever,  chills,  headache,  muscle_pain,  diarrhoea, and  vomiting."
How can I prevent malaria?,"To prevent malaria, it is recommended to avoid oily food, avoid non veg food, Consult nearest hospital, and keep mosquitos out."
What medications should I take for malaria?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is migraine?,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
What are the symptoms of migraine?,"Common symptoms may include  depression,  visual_disturbances,  stiff_neck,  indigestion,  blurred_and_distorted_vision,  irritability,  headache,  acidity, and  excessive_hunger."
How can I prevent migraine?,"To prevent migraine, it is recommended to consult doctor, meditation, use poloroid glasses in sun, and reduce stress."
What medications should I take for migraine?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is osteoarthristis?,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
What are the symptoms of osteoarthristis?,"Common symptoms may include  knee_pain,  swelling_joints,  painful_walking,  neck_pain,  joint_pain, and  hip_joint_pain."
How can I prevent osteoarthristis?,"To prevent osteoarthristis, it is recommended to follow up, acetaminophen, salt baths, and consult nearest hospital."
What is paralysis (brain hemorrhage)?,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body."
What are the symptoms of paralysis (brain hemorrhage)?,"Common symptoms may include  headache,  weakness_of_one_body_side,  altered_sensorium, and  vomiting."
How can I prevent paralysis (brain hemorrhage)?,"To prevent paralysis (brain hemorrhage), it is recommended to consult doctor, exercise, eat healthy, and massage."
What is peptic ulcer diseae?,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
What are the symptoms of peptic ulcer diseae?,"Common symptoms may include  loss_of_appetite,  abdominal_pain,  internal_itching,  indigestion,  passage_of_gases, and  vomiting."
How can I prevent peptic ulcer diseae?,"To prevent peptic ulcer diseae, it is recommended to consume probiotic food, avoid fatty spicy food, limit alcohol, and eliminate milk."
What is pneumonia?,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
What are the symptoms of pneumonia?,"Common symptoms may include  sweating,  fatigue,  high_fever,  rusty_sputum,  phlegm,  chest_pain,  cough,  chills,  malaise,  breathlessness, and  fast_heart_rate."
How can I prevent pneumonia?,"To prevent pneumonia, it is recommended to consult doctor, follow up, rest, and medication."
What medications should I take for pneumonia?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is psoriasis?,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
What are the symptoms of psoriasis?,"Common symptoms may include  silver_like_dusting,  skin_rash,  inflammatory_nails,  joint_pain,  skin_peeling, and  small_dents_in_nails."
How can I prevent psoriasis?,"To prevent psoriasis, it is recommended to wash hands with warm soapy water, salt baths, stop bleeding using pressure, and consult doctor."
What medications should I take for psoriasis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is tuberculosis?,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
What are the symptoms of tuberculosis?,"Common symptoms may include  swelled_lymph_nodes,  sweating,  fatigue,  high_fever,  loss_of_appetite,  phlegm,  blood_in_sputum,  chest_pain,  cough,  chills,  mild_fever,  yellowing_of_eyes,  malaise,  breathlessness,  weight_loss, and  vomiting."
How can I prevent tuberculosis?,"To prevent tuberculosis, it is recommended to consult doctor, rest, medication, and cover mouth."
What is typhoid?,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe."
What are the symptoms of typhoid?,"Common symptoms may include  nausea,  toxic_look_(typhos),  fatigue,  high_fever,  constipation,  abdominal_pain,  belly_pain,  chills,  headache,  diarrhoea, and  vomiting."
