question,answer
How can I prevent typhoid?,"To prevent typhoid, it is recommended to eat high calorie vegitables, medication, consult doctor, and antiboitic therapy."
What is urinary tract infection?,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
What are the symptoms of urinary tract infection?,"Common symptoms may include  burning_micturition,  bladder_discomfort,  continuous_feel_of_urine, and  foul_smell_of urine."
How can I prevent urinary tract infection?,"To prevent urinary tract infection, it is recommended to increase vitamin c intake, take probiotics, drink plenty of water, and drink cranberry juice."
What medications should I take for urinary tract infection?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is varicose veins?,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
What are the symptoms of varicose veins?,"Common symptoms may include  fatigue,  prominent_veins_on_calf,  bruising,  swollen_blood_vessels,  swollen_legs,  obesity, and  cramps."
How can I prevent varicose veins?,"To prevent varicose veins, it is recommended to dont stand still for long, lie down flat and raise the leg high, use oinments, and use vein compression."
What is allergic rhinitis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of allergic rhinitis?,"Common symptoms may include Cough, Fatigue, and Cholesterol Level."
How can I prevent allergic rhinitis?,"To prevent allergic rhinitis, it is recommended to no specific information is available."
What medications should I take for allergic rhinitis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is alzheimer's disease?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of alzheimer's disease?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent alzheimer's disease?,"To prevent alzheimer's disease, it is recommended to no specific information is available."
What medications should I take for alzheimer's disease?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is appendicitis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of appendicitis?,"Common symptoms may include Fever, Fatigue, and Cough."
How can I prevent appendicitis?,"To prevent appendicitis, it is recommended to no specific information is available."
What medications should I take for appendicitis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is asthma?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of asthma?,"Common symptoms may include Difficulty Breathing, Fever, and Cough."
How can I prevent asthma?,"To prevent asthma, it is recommended to no specific information is available."
What medications should I take for asthma?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is atherosclerosis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of atherosclerosis?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent atherosclerosis?,"To prevent atherosclerosis, it is recommended to no specific information is available."
What medications should I take for atherosclerosis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is bipolar disorder?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of bipolar disorder?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent bipolar disorder?,"To prevent bipolar disorder, it is recommended to no specific information is available."
What medications should I take for bipolar disorder?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is bladder cancer?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of bladder cancer?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent bladder cancer?,"To prevent bladder cancer, it is recommended to no specific information is available."
What medications should I take for bladder cancer?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10)."
What is brain tumor?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of brain tumor?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent brain tumor?,"To prevent brain tumor, it is recommended to no specific information is available."
What medications should I take for brain tumor?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is breast cancer?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of breast cancer?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent breast cancer?,"To prevent breast cancer, it is recommended to no specific information is available."
What medications should I take for breast cancer?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10)."
What is bronchitis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of bronchitis?,"Common symptoms may include Difficulty Breathing, Fever, and Cough."
How can I prevent bronchitis?,"To prevent bronchitis, it is recommended to no specific information is available."
What medications should I take for bronchitis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is cholecystitis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of cholecystitis?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent cholecystitis?,"To prevent cholecystitis, it is recommended to no specific information is available."
What medications should I take for cholecystitis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is cholera?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of cholera?,"Common symptoms may include Fever, Fatigue, and Difficulty Breathing."
How can I prevent cholera?,"To prevent cholera, it is recommended to no specific information is available."
What medications should I take for cholera?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is colorectal cancer?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of colorectal cancer?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent colorectal cancer?,"To prevent colorectal cancer, it is recommended to no specific information is available."
What medications should I take for colorectal cancer?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is coronary artery disease?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of coronary artery disease?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent coronary artery disease?,"To prevent coronary artery disease, it is recommended to no specific information is available."
What medications should I take for coronary artery disease?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is crohn's disease?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of crohn's disease?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent crohn's disease?,"To prevent crohn's disease, it is recommended to no specific information is available."
What medications should I take for crohn's disease?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is cystic fibrosis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of cystic fibrosis?,"Common symptoms may include Fatigue, Difficulty Breathing, and Fever."
How can I prevent cystic fibrosis?,"To prevent cystic fibrosis, it is recommended to no specific information is available."
What medications should I take for cystic fibrosis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10)."
What is dengue fever?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of dengue fever?,"Common symptoms may include Fever, Fatigue, and Cough."
How can I prevent dengue fever?,"To prevent dengue fever, it is recommended to no specific information is available."
What medications should I take for dengue fever?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is depression?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of depression?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent depression?,"To prevent depression, it is recommended to no specific information is available."
What medications should I take for depression?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is diverticulitis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of diverticulitis?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent diverticulitis?,"To prevent diverticulitis, it is recommended to no specific information is available."
What medications should I take for diverticulitis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is eczema?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of eczema?,"Common symptoms may include Cough, Fever, and Fatigue."
How can I prevent eczema?,"To prevent eczema, it is recommended to no specific information is available."
What medications should I take for eczema?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is endometriosis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of endometriosis?,"Common symptoms may include Fever, Cough, and Fatigue."
How can I prevent endometriosis?,"To prevent endometriosis, it is recommended to no specific information is available."
What medications should I take for endometriosis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is epilepsy?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of epilepsy?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent epilepsy?,"To prevent epilepsy, it is recommended to no specific information is available."
What medications should I take for epilepsy?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is fibromyalgia?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of fibromyalgia?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent fibromyalgia?,"To prevent fibromyalgia, it is recommended to no specific information is available."
What medications should I take for fibromyalgia?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is glaucoma?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of glaucoma?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent glaucoma?,"To prevent glaucoma, it is recommended to no specific information is available."
What medications should I take for glaucoma?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is gout?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of gout?,"Common symptoms may include Fever, Fatigue, and Cough."
How can I prevent gout?,"To prevent gout, it is recommended to no specific information is available."
What medications should I take for gout?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is hemorrhoids?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of hemorrhoids?,"Common symptoms may include Fever, Cough, and Fatigue."
How can I prevent hemorrhoids?,"To prevent hemorrhoids, it is recommended to no specific information is available."
What medications should I take for hemorrhoids?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is influenza?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of influenza?,"Common symptoms may include Fever, Cough, and Fatigue."
How can I prevent influenza?,"To prevent influenza, it is recommended to no specific information is available."
What medications should I take for influenza?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is lyme disease?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of lyme disease?,"Common symptoms may include Fever, Cough, and Fatigue."
How can I prevent lyme disease?,"To prevent lyme disease, it is recommended to no specific information is available."
What medications should I take for lyme disease?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is lymphoma?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of lymphoma?,"Common symptoms may include Cough, Fever, and Fatigue."
How can I prevent lymphoma?,"To prevent lymphoma, it is recommended to no specific information is available."
What medications should I take for lymphoma?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is multiple sclerosis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of multiple sclerosis?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent multiple sclerosis?,"To prevent multiple sclerosis, it is recommended to no specific information is available."
What medications should I take for multiple sclerosis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10)."
What is osteoarthritis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of osteoarthritis?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent osteoarthritis?,"To prevent osteoarthritis, it is recommended to no specific information is available."
What medications should I take for osteoarthritis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is osteoporosis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of osteoporosis?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent osteoporosis?,"To prevent osteoporosis, it is recommended to no specific information is available."
What medications should I take for osteoporosis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is ovarian cancer?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of ovarian cancer?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent ovarian cancer?,"To prevent ovarian cancer, it is recommended to no specific information is available."
What medications should I take for ovarian cancer?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is pancreatic cancer?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of pancreatic cancer?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent pancreatic cancer?,"To prevent pancreatic cancer, it is recommended to no specific information is available."
What medications should I take for pancreatic cancer?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is parkinson's disease?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of parkinson's disease?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent parkinson's disease?,"To prevent parkinson's disease, it is recommended to no specific information is available."
What medications should I take for parkinson's disease?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10)."
What is rheumatoid arthritis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of rheumatoid arthritis?,"Common symptoms may include Fatigue, Cough, and Cholesterol Level."
How can I prevent rheumatoid arthritis?,"To prevent rheumatoid arthritis, it is recommended to no specific information is available."
What medications should I take for rheumatoid arthritis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is schizophrenia?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of schizophrenia?,"Common symptoms may include Cough, Fatigue, and Fever."
How can I prevent schizophrenia?,"To prevent schizophrenia, it is recommended to no specific information is available."
What medications should I take for schizophrenia?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is sepsis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of sepsis?,"Common symptoms may include Fever, Cough, and Fatigue."
How can I prevent sepsis?,"To prevent sepsis, it is recommended to no specific information is available."
What medications should I take for sepsis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is sinusitis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of sinusitis?,"Common symptoms may include Cough, Fatigue, and Fever."
How can I prevent sinusitis?,"To prevent sinusitis, it is recommended to no specific information is available."
What medications should I take for sinusitis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is testicular cancer?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of testicular cancer?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent testicular cancer?,"To prevent testicular cancer, it is recommended to no specific information is available."
What medications should I take for testicular cancer?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is tetanus?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of tetanus?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent tetanus?,"To prevent tetanus, it is recommended to no specific information is available."
What medications should I take for tetanus?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10)."
What is thyroid cancer?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of thyroid cancer?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent thyroid cancer?,"To prevent thyroid cancer, it is recommended to no specific information is available."
What medications should I take for thyroid cancer?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10)."
What is typhoid fever?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of typhoid fever?,"Common symptoms may include Cough, Cholesterol Level, and Fever."
How can I prevent typhoid fever?,"To prevent typhoid fever, it is recommended to no specific information is available."
What medications should I take for typhoid fever?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is ulcerative colitis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of ulcerative colitis?,"Common symptoms may include Cough, Fatigue, and Fever."
How can I prevent ulcerative colitis?,"To prevent ulcerative colitis, it is recommended to no specific information is available."
What medications should I take for ulcerative colitis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
